epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1220.95,0.00684,0.74945,0.06822,0.84077,0.89263,0.93062,0.67324,0.0063,0.7222,0.06794,0.000347508,0.000347508,0.000347508
63,1241.1,0.00686,0.75004,0.06821,0.81737,0.91082,0.92196,0.66227,0.00643,0.74201,0.0688,0.000345008,0.000345008,0.000345008
64,1261.79,0.00692,0.75279,0.06834,0.83954,0.87941,0.92806,0.66721,0.00635,0.74493,0.06838,0.000342508,0.000342508,0.000342508
65,1282.08,0.00676,0.74099,0.06795,0.81427,0.90847,0.92674,0.67009,0.00633,0.73262,0.06821,0.000340008,0.000340008,0.000340008
66,1302.23,0.00684,0.74593,0.06802,0.8192,0.8961,0.92634,0.66722,0.00646,0.73428,0.06871,0.000337508,0.000337508,0.000337508
67,1322.35,0.00684,0.7424,0.06812,0.84583,0.88464,0.92737,0.66939,0.00634,0.72857,0.06832,0.000335008,0.000335008,0.000335008
68,1342.69,0.00687,0.74687,0.06822,0.8268,0.90506,0.92606,0.66519,0.00639,0.73393,0.06805,0.000332508,0.000332508,0.000332508
69,1362.91,0.00674,0.73798,0.06776,0.84244,0.88965,0.92352,0.66775,0.00631,0.72309,0.068,0.000330008,0.000330008,0.000330008
70,1383.12,0.00673,0.73334,0.06759,0.82246,0.89279,0.92537,0.6713,0.00629,0.7325,0.06776,0.000327509,0.000327509,0.000327509
71,1403.14,0.00673,0.73242,0.06817,0.85733,0.87346,0.92751,0.67193,0.00632,0.72213,0.06808,0.000325009,0.000325009,0.000325009
72,1423.42,0.00674,0.72988,0.06775,0.82149,0.90812,0.92437,0.66782,0.0063,0.71965,0.06755,0.000322509,0.000322509,0.000322509
73,1443.22,0.00671,0.72476,0.06764,0.84417,0.88615,0.92931,0.66931,0.00628,0.7101,0.06759,0.000320009,0.000320009,0.000320009
74,1463.32,0.00677,0.73783,0.06789,0.84208,0.88413,0.9283,0.66923,0.00629,0.72481,0.06816,0.000317509,0.000317509,0.000317509
75,1484.27,0.00676,0.73332,0.0678,0.85086,0.89206,0.92892,0.67322,0.00628,0.71094,0.0676,0.000315009,0.000315009,0.000315009
76,1506.06,0.00675,0.72162,0.06795,0.84184,0.89147,0.92582,0.66553,0.00635,0.72896,0.06855,0.000312509,0.000312509,0.000312509
77,1528.09,0.00673,0.72922,0.06784,0.85934,0.87994,0.92899,0.6736,0.00623,0.71779,0.0677,0.000310009,0.000310009,0.000310009
